Comment,DataSet/Point,Oxides,K2O,CaO,TiO2,MnO,FeO,Na2O,MgO,SiO2,Al2O3,Total,Anorthite,Weight Percent,K,Ca,Ti,Mn,Fe,Na,Mg,Si,Al,O,Total.1,Detection Limit,K.1,Ca.1,Ti.1,Mn.1,Fe.1,Na.1,Mg.1,Si.1,Al.1,O.1,Standard Deviation,K.2,Ca.2,Ti.2,Mn.2,Fe.2,Na.2,Mg.2,Si.2,Al.2,O.2,X,Y,Z,Beam X,Beam Y,Distance (µ),Mean Z,Point#,Date,CationSum
K8_plag1_rtoc,1 / 1 . ,,0.0519,14.4518,0.6491,0.0901,4.8727,2.3413,3.979,49.37,23.715,99.5209,77.3297734,,0.0431,10.3286,0.3892,0.0698,3.7876,1.7369,2.3995,23.0768,12.551,45.1385,99.5209,,368,670,150,251,201,654,117,779,445,,,0.0359,0.3118,0.0218,0.0233,0.0546,0.1419,0.0314,0.4387,0.2417,,11887,20509,260, , ,0.00,12.1142,1,12/7/21 16:55,
K8_plag1_rtoc,1 / 2 . ,,0.0031,16.8384,0.0297,0.0013,0.5769,1.7939,0.2178,46.6657,32.4782,98.6049,83.83746286,,0.0026,12.0343,0.0178,0.001,0.4484,1.3308,0.1314,21.8128,17.1888,45.6371,98.6049,,371,709,145,258,150,566,86,767,459,,,0.0308,0.341,0.0126,0.0215,0.0205,0.1212,0.0092,0.4273,0.2824,,11883.1,20505.9,259.9, , ,5.00,11.6296,2,12/7/21 17:02,
K8_plag1_rtoc,1 / 3 . ,,0.0016,17.5145,0.0318,-0.0104,0.6945,1.208,0.1859,44.5544,33.028,97.2082,88.90404441,,0.0013,12.5175,0.0191,-0.0081,0.5398,0.8961,0.1121,20.8259,17.4798,44.8246,97.2082,,401,713,147,271,147,534,86,764,476,,,0.0331,0.3485,0.0128,0.0222,0.0217,0.1016,0.009,0.4171,0.2853,,11879.1,20502.9,259.8, , ,10.00,11.5323,3,12/7/21 17:08,
K8_plag1_rtoc,1 / 4 . ,,-0.0036,17.8024,0.0204,-0.0028,0.4723,1.2954,0.1631,45.6028,33.7199,99.0699,88.36468672,,-0.003,12.7233,0.0123,-0.0022,0.3671,0.961,0.0984,21.3159,17.846,45.7511,99.0699,,402,672,148,262,148,532,86,758,486,,,0.0326,0.3512,0.0126,0.0217,0.0192,0.1044,0.0088,0.4222,0.2887,,11875.2,20499.8,259.7, , ,15.00,11.7235,4,12/7/21 17:14,
K8_plag1_rtoc,1 / 5 . ,,0.0208,17.8203,0.0134,-0.0199,0.4618,1.4068,0.1837,46.0039,33.6541,99.5449,87.50026721,,0.0173,12.736,0.008,-0.0154,0.3589,1.0436,0.1108,21.5035,17.8112,45.971,99.5449,,335,709,147,273,150,526,85,745,475,,,0.03,0.352,0.0125,0.0222,0.0192,0.1079,0.0089,0.4239,0.2882,,11871.2,20496.7,259.7, , ,20.00,11.7734,5,12/7/21 17:21,
K8_plag1_rtoc,1 / 6 . ,,0.008,17.6952,0.0257,0.0151,0.4594,1.3258,0.1775,45.4534,33.6079,98.7679,88.06070463,,0.0067,12.6466,0.0154,0.0117,0.3571,0.9836,0.107,21.2461,17.7867,45.607,98.7679,,380,726,147,250,147,555,86,790,471,,,0.0321,0.3508,0.0126,0.0212,0.019,0.1062,0.0089,0.4219,0.288,,11867.3,20493.6,259.6, , ,25.00,11.6861,6,12/7/21 17:27,
K8_plag1_rtoc,1 / 7 . ,,0.0161,18.0772,0.0085,-0.0073,0.4581,1.2897,0.1646,45.6476,33.8297,99.4843,88.56599112,,0.0134,12.9196,0.0051,-0.0056,0.3561,0.9568,0.0992,21.3369,17.9041,45.8986,99.4843,,338,684,148,261,148,503,85,800,471,,,0.0297,0.3545,0.0124,0.0215,0.019,0.1032,0.0087,0.4228,0.2891,,11863.4,20490.5,259.5, , ,30.00,11.7825,7,12/7/21 17:33,
K8_plag1_rtoc,1 / 8 . ,,0.0142,17.6494,0.0194,-0.0025,0.434,1.4131,0.19,45.9358,33.4696,99.1229,87.34518195,,0.0118,12.6139,0.0117,-0.0019,0.3374,1.0483,0.1146,21.4716,17.7135,45.8022,99.1229,,380,699,147,255,149,520,85,770,472,,,0.0328,0.3499,0.0125,0.0211,0.0188,0.1078,0.009,0.4239,0.2873,,11859.4,20487.5,259.4, , ,35.01,11.7168,8,12/7/21 17:39,
K8_plag1_rtoc,1 / 9 . ,,0.0013,17.9653,0.0282,0.0113,0.4324,1.3219,0.1836,45.6337,33.6696,99.2472,88.24964239,,0.0011,12.8397,0.0169,0.0087,0.3361,0.9807,0.1107,21.3304,17.8194,45.8036,99.2472,,411,681,146,250,147,549,85,771,478,,,0.0339,0.3532,0.0126,0.0211,0.0187,0.1059,0.0089,0.4224,0.2884,,11855.5,20484.4,259.3, , ,40.01,11.7497,9,12/7/21 17:46,
K8_plag1_rtoc,1 / 10 . ,,0.0157,18.0202,0.0258,-0.0109,0.4452,1.351,0.1783,45.9139,33.7038,99.643,88.05408908,,0.013,12.8789,0.0155,-0.0084,0.3461,1.0022,0.1075,21.4614,17.8375,45.9894,99.643,,369,683,144,262,144,536,86,756,474,,,0.0321,0.3538,0.0124,0.0215,0.0186,0.1064,0.0089,0.4235,0.2885,,11851.5,20481.3,259.2, , ,45.01,11.7953,10,12/7/21 17:52,
K8_plag1_rtoc,1 / 11 . ,,0.0057,17.6318,0.0022,0.0065,0.4357,1.4844,0.2018,45.6801,33.4338,98.882,86.77956449,,0.0048,12.6013,0.0013,0.005,0.3386,1.1012,0.1217,21.3521,17.6946,45.6613,98.882,,377,688,152,253,146,510,85,746,479,,,0.0316,0.3496,0.0126,0.0212,0.0186,0.1099,0.009,0.4224,0.2873,,11847.6,20478.2,259.1, , ,50.01,11.689,11,12/7/21 17:58,
